Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,eSST1A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,0.60045785,0.40000004,0.0,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
1e-10,0.60045785,0.40000004,-5.15505e-19,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.002,0.60045785,0.40000004,-1.0309592e-11,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.004,0.60045785,0.40000004,-2.0618058e-11,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.006,0.60045785,0.40000004,-3.0925183e-11,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.008,0.60045785,0.40000004,-4.1230956e-11,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.01,0.60045785,0.40000004,-5.1534863e-11,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.012,0.60045785,0.40000004,-6.1836994e-11,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.014,0.60045785,0.40000004,-7.213739e-11,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.016,0.60045785,0.40000004,-8.243605e-11,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.018,0.60045785,0.40000004,-9.273143e-11,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.02,0.60045785,0.40000004,-1.0302399e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.022,0.60045785,0.40000004,-1.13314046e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.024,0.60045785,0.40000004,-1.2360159e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.026,0.60045785,0.40000004,-1.3388661e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.028,0.60045785,0.40000004,-1.4416911e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.03,0.60045785,0.40000004,-1.5444909e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.032,0.60045785,0.40000004,-1.6472657e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.034,0.60045785,0.40000004,-1.7499727e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.036,0.60045785,0.40000004,-1.8526154e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.038,0.60045785,0.40000004,-1.9552172e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.04,0.60045785,0.40000004,-2.0577783e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.042,0.60045785,0.40000004,-2.1602985e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
